batter,runs,avg,strike_rate
JJ Roy,329,29.90909091,124.6212121
JEC Franklin,327,29.72727273,105.8252427
RN ten Doeschate,326,23.28571429,136.9747899
Washington Sundar,318,13.82608696,114.3884892
KV Sharma,317,15.0952381,111.2280702
Rashid Khan,313,11.17857143,146.2616822
R Vinay Kumar,310,11.07142857,107.266436
DB Das,304,21.71428571,113.8576779
C de Grandhomme,303,18.9375,132.3144105
LA Pomersbach,302,27.45454545,120.3187251
UBT Chand,300,15,95.54140127
DJG Sammy,295,19.66666667,117.5298805
SP Goswami,293,14.65,95.43973941
Y Nagar,285,20.35714286,105.1660517
GH Vihari,284,14.2,85.80060423
VVS Laxman,282,14.84210526,104.0590406
A Ashish Reddy,280,18.66666667,142.8571429
B Chipli,280,18.66666667,109.375
Shahbaz Ahmed,279,18.6,110.2766798
MJ Lumb,278,23.16666667,140.4040404
MJ Guptill,271,22.58333333,137.5634518
R Sathish,270,15.88235294,114.4067797
M Shahrukh Khan,270,19.28571429,114.4067797
MK Lomror,267,20.53846154,124.7663551
M Kaif,259,14.38888889,100.3875969
DP Conway,252,42,143.1818182
PK Garg,251,15.6875,112.0535714
RK Singh,251,20.91666667,123.0392157
R Powell,250,25,143.6781609
JO Holder,247,13,120.4878049
B Kumar,241,8.310344828,93.05019305
SM Katich,241,24.1,126.1780105
BCJ Cutting,238,21.63636364,163.0136986
MD Mishra,237,14.8125,111.2676056
JM Sharma,234,29.25,157.0469799
HV Patel,230,10.45454545,121.6931217
Lalit Yadav,229,25.44444444,100.8810573
Abdul Samad,228,13.41176471,139.0243902
K Goel,218,14.53333333,91.21338912
AA Jhunjhunwala,217,16.69230769,99.5412844
PBB Rajapaksa,206,22.88888889,150.3649635
TM Head,205,29.28571429,135.7615894
CA Ingram,205,17.08333333,112.0218579
PD Collingwood,203,40.6,127.672956
KS Bharat,199,28.42857143,118.452381
SK Warne,198,9.9,90.4109589
SP Fleming,196,21.77777778,114.619883
JC Archer,195,15,152.34375
AS Raut,194,21.55555556,112.7906977
BJ Rohrer,193,27.57142857,132.1917808
Salman Butt,193,27.57142857,112.2093023
YV Takawale,192,24,104.9180328
R Dhawan,190,21.11111111,107.9545455
Bipul Sharma,187,23.375,150.8064516
TH David,187,31.16666667,198.9361702
Mohammad Nabi,186,14.30769231,147.6190476
K Rabada,186,12.4,98.93617021
K Gowtham,186,13.28571429,161.7391304
FY Fazal,183,18.3,102.2346369
CR Brathwaite,181,13.92307692,150.8333333
AC Voges,181,45.25,126.5734266
S Gopal,180,12.85714286,104.0462428
MS Wade,179,13.76923077,100.5617978
AB Agarkar,179,17.9,111.875
UT Yadav,177,9.833333333,100.5681818
C Munro,177,14.75,122.9166667
MF Maharoof,177,17.7,142.7419355
SN Thakur,173,10.8125,125.3623188
DH Yagnik,170,17,119.7183099
CM Gautam,169,16.9,106.9620253
DW Steyn,167,7.590909091,102.4539877
MG Johnson,167,12.84615385,99.4047619
MN van Wyk,167,55.66666667,123.7037037
PA Reddy,164,16.4,98.20359281
JD Unadkat,164,13.66666667,120.5882353
D Brevis,161,23,138.7931034
A Badoni,161,20.125,115.8273381
MN Samuels,161,12.38461538,92.52873563
RE van der Merwe,159,14.45454545,110.4166667
R McLaren,159,19.875,89.3258427
AD Hales,148,24.66666667,124.3697479
SM Pollock,147,18.375,126.7241379
S Vidyut,145,18.125,126.0869565
B Sai Sudharsan,145,36.25,122.8813559
Sachin Baby,144,16,117.0731707
N Saini,140,14,97.9020979
S Anirudha,136,17,112.3966942
SB Styris,131,18.71428571,97.76119403
W Jaffer,130,16.25,100.7751938
Anuj Rawat,129,14.33333333,104.0322581
Kamran Akmal,128,25.6,164.1025641
D Wiese,127,31.75,135.106383
UT Khawaja,127,21.16666667,120.952381
TK Curran,127,25.4,117.5925926
P Dogra,127,11.54545455,90.07092199
M Morkel,126,11.45454545,135.483871
BB Samantray,125,25,107.7586207
MC Juneja,125,17.85714286,93.28358209
B Lee,124,12.4,121.5686275
AB McDonald,123,24.6,119.4174757
MM Sharma,122,8.133333333,101.6666667
DL Vettori,121,15.125,102.5423729
NK Patel,121,30.25,97.58064516
AC Blizzard,120,17.14285714,131.8681319
TG Southee,120,9.230769231,111.1111111
RJ Harris,117,9.75,104.4642857
Misbah-ul-Haq,117,16.71428571,142.6829268
Z Khan,117,8.357142857,82.9787234
KK Cooper,116,12.88888889,165.7142857
DJM Short,115,16.42857143,112.745098
M Kartik,113,16.14285714,103.6697248
DJ Harris,111,27.75,107.7669903
RD Chahar,108,8.307692308,105.8823529
A Manohar,108,18,136.7088608
SE Rutherford,106,15.14285714,99.06542056
Harpreet Brar,106,35.33333333,106
JDP Oram,106,13.25,96.36363636
LJ Wright,106,21.2,168.2539683
Kuldeep Yadav,105,15,80.76923077
DS Kulkarni,104,11.55555556,92.03539823
RJ Quiney,103,14.71428571,98.0952381
SD Chitnis,99,14.14285714,107.6086957
MS Gony,99,9.9,130.2631579
MJ Clarke,98,16.33333333,102.0833333
CJ Ferguson,98,16.33333333,82.35294118
MA Starc,96,13.71428571,97.95918367
Mohammed Siraj,96,13.71428571,86.48648649
PR Shah,92,11.5,94.84536082
JDS Neesham,92,10.22222222,98.92473118
DJ Jacobs,92,13.14285714,91.08910891
RT Ponting,91,10.11111111,70.54263566
AJ Tye,91,10.11111111,115.1898734
S Rana,91,22.75,110.9756098
AD Nath,90,9,90.90909091
SL Malinga,88,5.5,85.4368932
Iqbal Abdulla,88,44,102.3255814
AP Majumdar,87,21.75,112.987013
Ankit Sharma,87,12.42857143,126.0869565
MJ McClenaghan,85,6.538461538,116.4383562
RE Levi,83,13.83333333,112.1621622
NM Coulter-Nile,82,7.454545455,109.3333333
Shahid Afridi,81,10.125,176.0869565
LA Carseldine,81,20.25,114.084507
WPUJC Vaas,81,10.125,110.9589041
DL Chahar,79,11.28571429,133.8983051
AD Mascarenhas,79,8.777777778,100
JR Philippe,78,19.5,97.5
CR Woakes,78,13,101.2987013
B Akhil,76,12.66666667,133.3333333
IR Jaggi,76,15.2,76
CJ Jordan,75,9.375,110.2941176
TR Birt,75,15,127.1186441
N Jagadeesan,73,24.33333333,102.8169014
M Klinger,73,18.25,93.58974359
RR Sarwan,73,18.25,93.58974359
J Suchith,70,17.5,112.9032258
Mohammed Shami,69,6.272727273,93.24324324
AA Bilakhia,69,13.8,78.40909091
Shashank Singh,69,17.25,146.8085106
SS Prabhudessai,67,13.4,108.0645161
LH Ferguson,67,33.5,142.5531915
RR Powar,67,22.33333333,104.6875
H Klaasen,66,13.2,113.7931034
R Sharma,66,4.714285714,85.71428571
KA Jamieson,65,16.25,118.1818182
P Simran Singh,64,10.66666667,95.52238806
Mohammad Hafeez,64,9.142857143,76.19047619
Anirudh Singh,63,15.75,91.30434783
WD Parnell,63,7,78.75
A Flintoff,62,31,108.7719298
SP Jackson,61,10.16666667,107.0175439
S Aravind,59,14.75,100
R Shepherd,58,29,134.8837209
WA Mota,56,9.333333333,73.68421053
JJ Bumrah,56,8,82.35294118
M Rawat,55,11,78.57142857
I Sharma,55,9.166666667,88.70967742
MJ Santner,54,18,98.18181818
TA Boult,53,10.6,108.1632653
A Chopra,53,8.833333333,70.66666667
RR Rossouw,53,10.6,103.9215686
Sandeep Sharma,52,8.666666667,78.78787879
Shoaib Malik,52,13,106.122449
RP Singh,52,3.466666667,66.66666667
KB Arun Karthik,51,10.2,96.22641509
OF Smith,51,17,102
Shivam Mavi,51,5.666666667,87.93103448
R Rampaul,51,10.2,98.07692308
VR Aaron,50,10,68.49315068
RV Gomez,50,10,94.33962264
AS Yadav,49,9.8,122.5
AG Paunikar,49,9.8,80.32786885
SB Bangar,49,7,84.48275862
Yashpal Singh,47,11.75,70.14925373
Ramandeep Singh,45,22.5,107.1428571
DR Sams,44,4.888888889,91.66666667
D Pretorius,44,11,157.1428571
PVD Chameera,43,10.75,134.375
HR Shokeen,43,21.5,89.58333333
Sunny Singh,43,10.75,138.7096774
AB Barath,42,21,97.6744186
SK Trivedi,42,6,68.85245902
A Nehra,41,5.857142857,65.07936508
LPC Silva,40,20,148.1481481
BR Dunk,40,13.33333333,111.1111111
J Yadav,40,10,105.2631579
PWH de Silva,39,4.875,78
S Nadeem,39,2.785714286,44.31818182
DJ Thornely,39,13,72.22222222
MM Patel,39,6.5,95.12195122
AUK Pathan,39,7.8,150
Umar Gul,39,13,205.2631579
YS Chahal,37,5.285714286,41.57303371
S Narwal,37,12.33333333,127.5862069
L Balaji,36,4.5,72
AN Ahmed,36,36,133.3333333
Joginder Sharma,36,9,120
KW Richardson,36,12,92.30769231
Sohail Tanvir,36,12,116.1290323
Anureet Singh,36,9,76.59574468
A Kumble,35,11.66666667,71.42857143
B Sumanth,35,35,92.10526316
M Ashwin,35,3.888888889,70
S Sreesanth,34,8.5,59.64912281
A Mithun,34,6.8,130.7692308
L Ronchi,34,6.8,91.89189189
AP Dole,34,17,147.826087
Navdeep Saini,33,8.25,86.84210526
D Salunkhe,33,16.5,137.5
DJ Mitchell,33,16.5,71.73913043
Imran Tahir,33,8.25,89.18918919
AT Carey,32,16,110.3448276
RJ Peterson,32,10.66666667,100
Basil Thampi,32,32,86.48648649
T Taibu,31,10.33333333,119.2307692
NS Naik,31,7.75,58.49056604
Avesh Khan,31,15.5,163.1578947
RV Patel,31,15.5,96.875
S Sriram,31,15.5,81.57894737
VH Zol,29,14.5,111.5384615
Anmolpreet Singh,29,9.666666667,107.4074074
J Syed Mohammad,29,14.5,107.4074074
SB Jakati,28,28,93.33333333
M Markande,27,9,90
PJ Sangwan,26,3.25,55.31914894
DJ Malan,26,26,100
JM Kemp,26,13,104
NL McCullum,26,26,113.0434783
AS Rajpoot,26,5.2,63.41463415
GD Phillips,26,13,78.78787879
AB Dinda,26,2.6,52
TL Seifert,26,8.666666667,100
S Chanderpaul,25,8.333333333,75.75757576
A Choudhary,25,25,125
KC Cariappa,24,8,114.2857143
MA Khote,24,12,109.0909091
ER Dwivedi,24,12,160
CV Varun,24,8,63.15789474
Arshdeep Singh,23,5.75,63.88888889
AF Milne,23,5.75,74.19354839
BMAJ Mendis,23,7.666666667,85.18518519
J Arunkumar,23,7.666666667,95.83333333
SW Tait,23,7.666666667,88.46153846
Mohsin Khan,23,23,121.0526316
KL Nagarkoti,22,5.5,64.70588235
SA Abbott,22,7.333333333,122.2222222
HE van der Dussen,22,11,88
GB Hogg,22,7.333333333,100
B Indrajith,21,7,67.74193548
TU Deshpande,21,21,175
DE Bollinger,21,21,91.30434783
AS Joseph,20,20,100
AC Thomas,20,10,105.2631579
S Kaul,20,5,55.55555556
RR Raje,20,20,111.1111111
M Muralitharan,20,3.333333333,66.66666667
Harpreet Singh,20,10,76.92307692
NJ Maddinson,20,6.666666667,95.23809524
P Sahu,19,19,146.1538462
Vishnu Vinod,19,6.333333333,73.07692308
DR Martyn,19,19,73.07692308
R Bishnoi,19,6.333333333,111.7647059
Y Gnaneswara Rao,19,19,105.5555556
P Ray Barman,19,19,76
R Shukla,19,19,82.60869565
A Mukund,19,9.5,82.60869565
KMA Paul,18,3.6,69.23076923
DS Lehmann,18,9,94.73684211
JJ van der Wath,18,9,105.8823529
NT Ellis,18,9,94.73684211
T Banton,18,9,81.81818182
JR Hazlewood,18,,66.66666667
Harmeet Singh,18,4.5,150
BJ Haddin,18,18,163.6363636
DJ Willey,18,9,56.25
PV Tambe,18,9,46.15384615
Parvez Rasool,17,8.5,85
PP Ojha,16,1.333333333,35.55555556
CK Kapugedera,16,5.333333333,66.66666667
C Sakariya,16,3.2,64
Virat Singh,15,7.5,57.69230769
JA Richardson,15,7.5,60
JL Pattinson,15,15,115.3846154
VY Mahesh,15,7.5,53.57142857
SD Lad,15,15,115.3846154
GR Napier,15,15,93.75
C Madan,15,15,71.42857143
I Udana,15,5,136.3636364
FA Allen,14,7,73.68421053
F Behardien,14,7,107.6923077
MDKJ Perera,14,7,107.6923077
KJ Abbott,13,13,162.5
Kartik Tyagi,13,3.25,81.25
DT Patil,13,6.5,100
DR Shorey,13,6.5,65
S Badree,13,2.6,52
Swapnil Singh,12,4,60
DAJ Bracewell,12,,133.3333333
Mustafizur Rahman,12,12,54.54545455
Mujeeb Ur Rahman,12,4,80
T Thushara,12,6,63.15789474
AR Bawne,12,,100
K Upadhyay,12,,133.3333333
Rasikh Salam,12,12,120
Karanveer Singh,12,12,70.58823529
AA Chavan,12,6,109.0909091
T Kohli,11,3.666666667,55
RA Bawa,11,5.5,78.57142857
T Henderson,11,5.5,68.75
DNT Zoysa,11,11,122.2222222
M Ntini,11,11,57.89473684
X Thalaivan Sargunam,10,10,58.82352941
KAJ Roach,10,10,111.1111111
TD Paine,10,5,34.48275862
AG Murtaza,10,10,71.42857143
SMSM Senanayake,10,10,58.82352941
BB Sran,10,10,71.42857143
D du Preez,10,10,76.92307692
J Theron,10,5,76.92307692
M Jansen,9,3,81.81818182
SM Harwood,9,,64.28571429
M Prasidh Krishna,9,3,37.5
AA Noffke,9,9,75
TM Srivastava,8,8,72.72727273
A Nortje,8,8,61.53846154
TS Mills,8,2,57.14285714
OC McCoy,8,8,160
Jaskaran Singh,8,8,72.72727273
P Chopra,8,8,133.3333333
JPR Scantlebury-Searles,8,8,133.3333333
CJ McKay,8,8,53.33333333
CK Langeveldt,8,4,88.88888889
Ravi Bishnoi,8,4,44.44444444
UA Birla,7,7,46.66666667
Ankit Soni,7,3.5,77.77777778
RK Bhui,7,3.5,38.88888889
P Dubey,7,,53.84615385
VS Malik,7,7,100
M Theekshana,7,7,100
IS Sodhi,7,3.5,38.88888889
Pankaj Singh,7,3.5,58.33333333
I Malhotra,7,,175
AN Ghosh,7,3.5,87.5
Simarjeet Singh,7,7,87.5
SS Shaikh,6,6,85.71428571
DM Bravo,6,,120
Mukesh Choudhary,6,6,100
PSP Handscomb,6,6,50
BA Bhatt,6,6,85.71428571
SB Joshi,6,3,37.5
A Zampa,5,2.5,62.5
P Awana,5,2.5,35.71428571
SJ Srivastava,5,5,100
Aman Hakim Khan,5,5,166.6666667
Shivam Sharma,5,5,166.6666667
VG Arora,5,2.5,35.71428571
B Laughlin,5,2.5,38.46153846
B Stanlake,5,,250
KMDN Kulasekara,5,,166.6666667
KS Sharma,4,4,100
A Chandila,4,,57.14285714
DP Nannes,4,4,30.76923077
FH Edwards,4,4,80
VRV Singh,4,2,133.3333333
PN Mankad,4,,400
CRD Fernando,4,,133.3333333
Umran Malik,4,4,50
A Uniyal,4,4,57.14285714
A Dananjaya,4,,80
RS Sodhi,4,,200
GD McGrath,4,4,80
A Tomar,4,4,50
BAW Mendis,3,1.5,50
S Tyagi,3,3,75
JE Taylor,3,3,75
D Kalyankrishna,3,3,37.5
T Natarajan,3,,60
Kamran Khan,3,3,60
K Kartikeya,3,3,50
GC Viljoen,3,1.5,42.85714286
AJ Turner,3,1,27.27272727
Mohammad Asif,3,1.5,50
R Ninan,3,3,50
Younis Khan,3,3,42.85714286
A Singh,2,0.5,20
RS Gavaskar,2,2,25
KP Appanna,2,2,50
RG More,2,,100
VS Yeligati,2,2,100
GHS Garton,2,2,50
Harshit Rana,2,2,100
Shoaib Akhtar,2,2,25
Mashrafe Mortaza,2,,100
Fazalhaq Farooqi,2,,25
H Das,2,2,40
T Shamsi,2,,50
Mohammad Ashraful,2,2,16.66666667
S Randiv,2,2,50
T Stubbs,2,1,50
SB Wagh,2,1,66.66666667
MA Wood,1,1,20
P Parameswaran,1,,33.33333333
DJ Muthuswami,1,1,33.33333333
PM Sarvesh Kumar,1,,50
HF Gurney,1,,20
KK Ahmed,1,0.2,14.28571429
M de Lange,1,1,50
Shoaib Ahmed,1,0.5,16.66666667
NJ Rimmington,1,,100
SE Bond,1,1,50
BE Hendricks,1,1,33.33333333
DP Vijaykumar,1,,100
LE Plunkett,1,1,33.33333333
ND Doshi,0,0,0
K Yadav,0,,0
S Kaushik,0,0,0
SS Cottrell,0,0,0
U Kaul,0,,0
Yash Dayal,0,0,0
R Sanjay Yadav,0,0,0
AS Roy,0,0,0
YA Abdulla,0,,0
Y Prithvi Raj,0,,0
L Ablish,0,,0
Sunny Gupta,0,0,0
RP Meredith,0,,0
KR Sen,0,,0
RR Bhatkal,0,0,0
IC Pandey,0,0,0
Abdur Razzak,0,,0
JL Denly,0,0,0
C Nanda,0,0,0
Akash Deep,0,0,0
S Ladda,0,0,0
V Pratap Singh,0,0,0
S Lamichhane,0,0,0
